timestamp_iso,event_id,event_title,event_slug,dominant_outcome,dominant_side,last_price,base_price,price_jump,recent_volume,dominance,signal_type,signal_reason,news_titles
2025-12-13T00:44:05Z,103663,Counter-Strike: FaZe vs Natus Vincere (BO3),cs2-faze-navi-2025-12-13,FaZe,BUY,0.410000,0.432364,-0.022364,2464.884389,1.000000,NEUTRAL_WATCH,"side=BUY, outcome=FaZe; jump=-0.022, last=0.410, dominance=1.00, vol=2464.9; no clear directional bias; treat as neutral watch",
2025-12-13T00:49:12Z,103663,Counter-Strike: FaZe vs Natus Vincere (BO3),cs2-faze-navi-2025-12-13,Natus Vincere,BUY,0.600000,0.443333,0.156667,16.666665,1.000000,AGGRESSIVE_BULLISH_SIGNAL,"side=BUY, outcome=Natus Vincere; jump=0.157, last=0.600, dominance=1.00, vol=16.7; strong BUY run, price still below 0.7",
2025-12-13T00:54:16Z,103663,Counter-Strike: FaZe vs Natus Vincere (BO3),cs2-faze-navi-2025-12-13,FaZe,BUY,0.410000,0.446667,-0.036667,486.977271,1.000000,NEUTRAL_WATCH,"side=BUY, outcome=FaZe; jump=-0.037, last=0.410, dominance=1.00, vol=487.0; no clear directional bias; treat as neutral watch",
2025-12-13T00:59:20Z,103663,Counter-Strike: FaZe vs Natus Vincere (BO3),cs2-faze-navi-2025-12-13,Natus Vincere,BUY,0.600000,0.468571,0.131429,192.317070,0.961953,AGGRESSIVE_BULLISH_SIGNAL,"side=BUY, outcome=Natus Vincere; jump=0.131, last=0.600, dominance=0.96, vol=192.3; strong BUY run, price still below 0.7",
2025-12-13T01:04:20Z,103663,Counter-Strike: FaZe vs Natus Vincere (BO3),cs2-faze-navi-2025-12-13,FaZe,BUY,0.410000,0.437778,-0.027778,423.944565,1.000000,NEUTRAL_WATCH,"side=BUY, outcome=FaZe; jump=-0.028, last=0.410, dominance=1.00, vol=423.9; no clear directional bias; treat as neutral watch",
2025-12-13T17:45:40Z,104233,Highest temperature in London on December 14?,highest-temperature-in-london-on-december-14,No,BUY,0.950980,0.970530,-0.019549,51.331400,1.000000,NEUTRAL_WATCH,"side=BUY, outcome=No; jump=-0.020, last=0.951, dominance=1.00, vol=51.3; no clear directional bias; treat as neutral watch","The recombinant zoster vaccine induces trained immunity in monocytes through persistent downregulation of TGFβ | Meteorological and environmental drivers of West Nile virus prevalence in Culex pipiens mosquitoes in Emilia-Romagna, Italy in 2013 to 2022 | Post-copulatory competition in a social monogamy system: Sperm morphology correlates with components of reproductive success"
2025-12-13T17:58:27Z,104238,Highest temperature in NYC on December 14?,highest-temperature-in-nyc-on-december-14,No,BUY,0.989868,0.975630,0.014238,30.400000,1.000000,NEUTRAL_WATCH,"side=BUY, outcome=No; jump=0.014, last=0.990, dominance=1.00, vol=30.4; BUY run but price already relatively high",
2025-12-13T17:58:27Z,104233,Highest temperature in London on December 14?,highest-temperature-in-london-on-december-14,Yes,BUY,0.543396,0.863614,-0.320218,11.041650,1.000000,NEUTRAL_WATCH,"side=BUY, outcome=Yes; jump=-0.320, last=0.543, dominance=1.00, vol=11.0; no clear directional bias; treat as neutral watch","The recombinant zoster vaccine induces trained immunity in monocytes through persistent downregulation of TGFβ | Meteorological and environmental drivers of West Nile virus prevalence in Culex pipiens mosquitoes in Emilia-Romagna, Italy in 2013 to 2022 | Post-copulatory competition in a social monogamy system: Sperm morphology correlates with components of reproductive success"
2025-12-13T18:04:00Z,104238,Highest temperature in NYC on December 14?,highest-temperature-in-nyc-on-december-14,No,BUY,0.963054,0.906585,0.056470,203.278985,1.000000,NEUTRAL_WATCH,"side=BUY, outcome=No; jump=0.056, last=0.963, dominance=1.00, vol=203.3; BUY run but price already relatively high",
2025-12-13T18:22:22Z,104274,LoL: Hanwha Life Esports vs T1 (BO5),lol-hle1-t1-2025-12-14,Hanwha Life Esports,SELL,0.550000,0.487500,0.062500,120.000000,0.833333,CAUTION_BEARISH_SIGNAL,"side=SELL, outcome=Hanwha Life Esports; jump=0.062, last=0.550, dominance=0.83, vol=120.0; dominant SELL flow during run window",
2025-12-13T18:27:27Z,104274,LoL: Hanwha Life Esports vs T1 (BO5),lol-hle1-t1-2025-12-14,Hanwha Life Esports,BUY,0.600000,0.510000,0.090000,16.666665,1.000000,AGGRESSIVE_BULLISH_SIGNAL,"side=BUY, outcome=Hanwha Life Esports; jump=0.090, last=0.600, dominance=1.00, vol=16.7; strong BUY run, price still below 0.7",
